word,entropy,reduction_factor,avg_size,solution,worst_case
aahed,2.9584486827750243,19.2680576886142,120.14703492236117,FALSE,448
aalii,2.523122703529081,12.467468146711992,185.68324961877107,FALSE,668
aargh,2.8673722463704316,17.590733300537444,131.60338232910794,FALSE,587
aarti,3.202540292274695,24.59492921636556,94.12509300736633,FALSE,380
abaca,2.1910180035803983,8.944313825133092,258.8236554820965,FALSE,993
abaci,2.671521672404676,14.461958821710635,160.0751342566864,FALSE,624
aback,2.408624634946982,11.118658409840604,208.20857289321003,TRUE,925
abacs,2.695588854081975,14.814239610845643,156.2685673252623,FALSE,668
abaft,2.606237000520122,13.547973792294503,170.87426027622456,FALSE,774
abaka,1.9334360787777698,6.913223859109082,334.86547624950447,FALSE,1136
abamp,2.3887635561568588,10.900008359450398,212.38515821805547,FALSE,898
aband,2.7054177617196986,14.960565336715312,154.740141692284,FALSE,753
abase,3.153690331185463,23.4223414850729,98.837257644602,TRUE,423
abash,2.726526922290062,15.27972707950717,151.50794172919663,FALSE,702
abask,2.54245286136855,12.710810620933827,182.12843138323174,FALSE,807
abate,3.184665536509064,24.159206681794583,95.82268285922203,TRUE,419
abaya,2.0614819889942138,7.85760607150206,294.61899450470474,FALSE,1001
abbas,2.1071445369779265,8.224722331372416,281.4684686885604,FALSE,872
abbed,2.7431057155017364,15.53515803302604,149.0168297662994,FALSE,523
abbes,2.8300393387796126,16.946127451401885,136.609382092691,FALSE,423
abbey,2.7209082038301524,15.194115334279905,152.36161823630877,TRUE,442
abbot,2.7563333394664884,15.742016367693662,147.0586706256339,TRUE,543
abcee,2.9648296627057937,19.391399881549948,119.38281991712311,FALSE,481
abeam,2.700987038495014,14.894425843518167,155.42727355331078,FALSE,535
abear,3.1056145609432426,22.322933563725837,103.7050078293389,FALSE,431
abele,3.1503427222469824,23.344063740098225,99.16868055939686,FALSE,457
abers,3.491513221342341,32.83559765823915,70.50275204657702,FALSE,278
abets,3.4246760844488175,30.712694920617725,75.37599699354023,FALSE,295
abhor,3.1879494776033988,24.238674505833114,95.50852293688287,TRUE,378
abide,3.3916155207913343,29.713916966606423,77.90962068722482,TRUE,299
abies,3.479487808456628,32.44310073773412,71.35569496621683,FALSE,234
abled,3.381059681459281,29.40191127129301,78.73637800751696,TRUE,380
abler,3.591752213639066,36.29762142489992,63.77828378616362,FALSE,291
ables,3.4684463427054535,32.08685172700541,72.14793210926379,FALSE,297
ablet,3.6305537038721956,37.73370413198934,61.35098722092916,FALSE,278
ablow,2.903253661356157,18.23337418691887,126.9649806046785,FALSE,518
abmho,2.7636438867033357,15.857520807867099,145.98751141802077,FALSE,549
abode,3.3741800012326273,29.200329727046654,79.27992668712037,TRUE,293
abohm,2.845604559109386,17.211961172061557,134.49949002660466,FALSE,549
aboil,3.330867086528489,27.962577168560017,82.78922168171579,FALSE,289
aboma,2.5175670377867645,12.398395112046025,186.7177145976574,FALSE,684
aboon,2.7550147422644335,15.721272668254127,147.25270967882045,FALSE,583
abord,3.283508593509928,26.66918005188245,86.80431852409333,FALSE,412
abore,3.676396799868643,39.503797236989286,58.601961378850824,FALSE,252
abort,3.5301850801871923,34.13028386955703,67.82832539124867,TRUE,335
about,3.247337836571458,25.721773125952915,90.00157137939286,TRUE,362
above,3.1180895383693374,22.60315590558652,102.41932629539721,TRUE,327
abram,2.6712085634699005,14.457431362020229,160.12526305893596,FALSE,674
abray,2.7599268253304814,15.798686842273565,146.53116572990137,FALSE,598
abrim,3.1424381979559173,23.16026738955954,99.95566808713025,FALSE,388
abrin,3.3633391387386222,28.885482658095764,80.14406501015044,FALSE,331
abris,3.326326328838294,27.835893718337893,83.1660022640089,FALSE,287
absey,3.2937121516812153,26.942693614683485,85.92310899227795,FALSE,288
absit,3.3335049739070826,28.036436671642434,82.57112082797298,FALSE,397
abuna,2.601615628092348,13.485508009755016,171.6657613732755,FALSE,682
abune,3.407222344042053,30.181294469157077,76.70313817605633,FALSE,296
